"","state","county","tract","Total_2010","White_2010","American_Indian_2010","Black_2010","B25006_009E","Pacific_Islander_2010","Asian_2010","Two_plus_races_2010","Other_Race_2010","B25006_010E","(White_Percent = White_2010/Total_2010) * 100","(Black_Percent_2010 = Black_2010/Total_2010) * 100","(Indian_Percent_2010 = American_Indian_2010/Total_2010) * 100","(Asian_Percent_2010 = Asian_2010/Total_2010) * 100","*...","(Other_Percent_2010 = Other_Race_2010/Total_2010) * 100"
"46","04","013","061010",1827,1751,0,31,0,0,24,0,21,0,95.84017515052,1.6967706622879,0,1.3136288998358,0,1.14942528735632
"47","04","013","061011",1818,1450,0,197,0,0,25,58,88,58,79.7579757975798,10.8360836083608,0,1.37513751375138,3.19031903190319,4.84048404840484
"48","04","013","061012",2702,2287,22,144,28,27,106,43,73,15,84.641006661732,5.32938564026647,0.814211695040711,3.92301998519615,1.59141376757957,2.70170244263509
"49","04","013","061013",1678,1332,12,161,0,25,65,0,83,0,79.3802145411204,9.59475566150179,0.715137067938021,3.87365911799762,0,4.94636471990465
"50","04","013","061014",1270,926,29,251,0,0,0,0,64,0,72.9133858267716,19.7637795275591,2.28346456692913,0,0,5.03937007874016
"51","04","013","061015",1788,1346,14,286,10,7,48,10,77,0,75.2796420581655,15.9955257270694,0.782997762863535,2.68456375838926,0.559284116331096,4.30648769574944
"52","04","013","061016",589,431,27,73,0,0,58,0,0,0,73.1748726655348,12.3938879456706,4.58404074702886,9.8471986417657,0,0
"53","04","013","061017",0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"54","04","013","061018",2145,2080,0,36,0,0,0,15,14,15,96.969696969697,1.67832167832168,0,0,0.699300699300699,0.652680652680653
"55","04","013","061019",852,798,16,0,8,0,0,8,30,0,93.6619718309859,0,1.87793427230047,0,0.938967136150235,3.52112676056338
"56","04","013","061020",1290,1060,24,70,0,0,103,0,33,0,82.1705426356589,5.42635658914729,1.86046511627907,7.98449612403101,0,2.55813953488372
"57","04","013","061021",424,284,0,30,0,0,90,6,14,6,66.9811320754717,7.07547169811321,0,21.2264150943396,1.41509433962264,3.30188679245283
"58","04","013","061022",2499,2036,31,135,4,0,93,37,167,33,81.4725890356142,5.40216086434574,1.24049619847939,3.72148859543818,1.48059223689476,6.68267306922769
"59","04","013","061023",2592,2073,24,111,28,0,65,135,184,107,79.9768518518518,4.28240740740741,0.925925925925926,2.50771604938272,5.20833333333333,7.09876543209876
"60","04","013","061024",600,513,0,17,0,0,0,0,70,0,85.5,2.83333333333333,0,0,0,11.6666666666667
"61","04","013","061025",1718,1387,0,124,0,0,168,0,39,0,80.7334109429569,7.21769499417928,0,9.77881257275902,0,2.27008149010477
"62","04","013","061026",1468,1256,24,78,0,0,0,23,87,23,85.558583106267,5.3133514986376,1.63487738419619,0,1.56675749318801,5.92643051771117
"63","04","013","061027",1828,1657,19,53,21,0,29,21,49,0,90.6455142231948,2.89934354485777,1.03938730853392,1.58643326039387,1.14879649890591,2.68052516411379
"64","04","013","061028",702,597,0,15,0,0,17,0,73,0,85.042735042735,2.13675213675214,0,2.42165242165242,0,10.3988603988604
"65","04","013","061029",1968,1413,0,115,0,0,85,95,260,95,71.7987804878049,5.84349593495935,0,4.31910569105691,4.82723577235772,13.2113821138211
"66","04","013","061030",2113,1693,41,180,12,0,49,54,96,42,80.1230477993374,8.51869380028396,1.94036914339801,2.31897775674397,2.55560814008519,4.54330336015144
"67","04","013","061031",615,560,19,13,6,0,0,18,5,12,91.0569105691057,2.11382113821138,3.08943089430894,0,2.92682926829268,0.813008130081301
"68","04","013","061032",1569,1271,57,79,6,12,29,6,115,0,81.0070108349267,5.03505417463352,3.63288718929254,1.84831102613129,0.382409177820268,7.32950924155513
"69","04","013","061033",1956,1628,10,92,13,0,28,35,163,22,83.2310838445808,4.70347648261759,0.511247443762781,1.43149284253579,1.78936605316973,8.33333333333333
"70","04","013","061034",1709,1319,6,123,28,0,44,28,189,0,77.1796372147455,7.19719133996489,0.351082504388531,2.57460503218256,1.63838502047981,11.0590988882387
"71","04","013","061035",1907,1491,52,185,11,0,38,11,130,0,78.185631882538,9.70110120608285,2.72679601468275,1.99265862611432,0.576822233875197,6.81699003670687
"72","04","013","061036",513,404,0,26,0,0,28,0,55,0,78.7524366471735,5.0682261208577,0,5.45808966861598,0,10.7212475633528
"73","04","013","061037",1034,862,0,45,21,14,4,33,76,12,83.3655705996132,4.35203094777563,0,0.386847195357834,3.19148936170213,7.35009671179884
"74","04","013","061038",1146,900,13,36,0,0,27,44,126,44,78.5340314136126,3.1413612565445,1.13438045375218,2.35602094240838,3.83944153577661,10.9947643979058
"75","04","013","061039",920,791,12,28,0,0,58,4,27,4,85.9782608695652,3.04347826086957,1.30434782608696,6.30434782608696,0.434782608695652,2.93478260869565
"76","04","013","061040",1168,809,5,80,0,0,12,76,186,76,69.263698630137,6.84931506849315,0.428082191780822,1.02739726027397,6.50684931506849,15.9246575342466
"77","04","013","061041",1044,618,11,66,11,0,14,24,311,13,59.1954022988506,6.32183908045977,1.0536398467433,1.34099616858238,2.29885057471264,29.7892720306513
"78","04","013","061042",736,664,0,29,10,0,0,10,33,0,90.2173913043478,3.94021739130435,0,0,1.35869565217391,4.48369565217391
"79","04","013","061043",584,444,0,26,0,0,0,0,114,0,76.027397260274,4.45205479452055,0,0,0,19.5205479452055
