GISJOIN,STATE,COUNTY,TRACTA,HousingUnits_1990,HousingUnits_2000,HousingUnits_2010,VacantForSale_1990,ForSalePercent_1990,VacantForSale_2000,ForSalePercent_2000,VacantForSale_2010,ForSalePercent_2010,Forsale_2015,HousingUnits_2015,ForSalePercent_2015
G0400130061039,Arizona,Maricopa County,61039,11.00,14.00,1242.00,0.00,0.00,1.00,7.14,50.00,4.03,35.00,1242.00,2.82
G0400130061040,Arizona,Maricopa County,61040,0.86,0.54,1461.00,0.00,0.00,0.00,0.00,55.00,3.76,0.00,1461.00,0.00
G0400130061041,Arizona,Maricopa County,61041,1.13,0.68,1420.00,0.00,0.00,0.00,0.00,45.00,3.17,0.00,1420.00,0.00
G0400130061042,Arizona,Maricopa County,61042,769.78,1041.30,1561.00,3.98,0.52,19.00,1.82,36.00,2.31,0.00,1561.00,0.00
G0400130061043,Arizona,Maricopa County,61043,65.23,95.47,799.00,0.02,0.03,1.00,1.05,27.00,3.38,0.00,799.00,0.00
G0400130061044,Arizona,Maricopa County,61044,129.99,177.00,1978.00,0.00,0.00,2.00,1.13,126.00,6.37,15.00,1978.00,0.76
G0400130061045,Arizona,Maricopa County,61045,471.15,984.00,1783.00,6.00,1.27,9.00,0.91,39.00,2.19,76.00,1783.00,4.26
G0400130061046,Arizona,Maricopa County,61046,694.62,949.07,2043.00,8.80,1.27,12.00,1.26,44.00,2.15,20.00,2043.00,0.98
G0400130061047,Arizona,Maricopa County,61047,2.05,1.44,1022.00,0.00,0.00,0.00,0.00,31.00,3.03,73.00,1022.00,7.14
G0400130061100,Arizona,Maricopa County,61100,1255.48,996.01,2576.00,0.20,0.02,0.00,0.00,0.00,0.00,69.00,2576.00,2.68
G0400130061200,Arizona,Maricopa County,61200,2027.09,2213.37,2226.00,28.87,1.42,24.88,1.12,14.00,0.63,0.00,2226.00,0.00
G0400130061300,Arizona,Maricopa County,61300,791.34,711.70,726.00,9.18,1.16,6.12,0.86,12.00,1.65,0.00,726.00,0.00
G0400130061401,Arizona,Maricopa County,61401,743.79,676.02,700.00,9.96,1.34,2.00,0.30,4.00,0.57,60.00,700.00,8.57
G0400130061402,Arizona,Maricopa County,61402,1000.78,1017.91,1852.00,22.99,2.30,11.00,1.08,64.00,3.46,0.00,1852.00,0.00
G0400130071503,Arizona,Maricopa County,71503,3720.00,3642.00,3746.00,211.00,5.67,106.00,2.91,178.00,4.75,0.00,3746.00,0.00
G0400130071504,Arizona,Maricopa County,71504,2635.00,2626.00,2627.00,59.00,2.24,52.00,1.98,65.00,2.47,35.00,2627.00,1.33
G0400130071505,Arizona,Maricopa County,71505,3543.35,3847.82,4207.00,104.95,2.96,107.96,2.81,147.00,3.49,110.00,4207.00,2.61
G0400130071506,Arizona,Maricopa County,71506,2815.00,2850.00,2876.00,57.00,2.02,67.00,2.35,62.00,2.16,0.00,2876.00,0.00
G0400130071509,Arizona,Maricopa County,71509,204.00,1037.00,2244.00,9.00,4.41,11.00,1.06,16.00,0.71,0.00,2244.00,0.00
G0400130071510,Arizona,Maricopa County,71510,731.00,1329.00,1355.00,23.00,3.15,6.00,0.45,16.00,1.18,21.00,1355.00,1.55
G0400130071511,Arizona,Maricopa County,71511,721.00,917.00,1480.00,18.00,2.50,13.00,1.42,16.00,1.08,23.00,1480.00,1.55
G0400130071512,Arizona,Maricopa County,71512,1476.00,2015.00,2143.00,59.00,4.00,11.00,0.55,31.00,1.45,15.00,2143.00,0.70
G0400130071513,Arizona,Maricopa County,71513,367.00,415.00,588.00,8.00,2.18,11.00,2.65,11.00,1.87,0.00,588.00,0.00
G0400130071514,Arizona,Maricopa County,71514,17.15,1539.00,1597.00,4.23,24.66,16.00,1.04,27.00,1.69,9.00,1597.00,0.56
G0400130071515,Arizona,Maricopa County,71515,486.85,1522.00,1947.00,100.77,20.70,22.00,1.45,35.00,1.80,25.00,1947.00,1.28
G0400130071516,Arizona,Maricopa County,71516,1438.69,1532.00,2217.00,38.07,2.65,58.00,3.79,42.00,1.89,16.00,2217.00,0.72
G0400130071517,Arizona,Maricopa County,71517,370.31,1017.00,1428.00,11.93,3.22,2.00,0.20,39.00,2.73,22.00,1428.00,1.54
G0400130071600,Arizona,Maricopa County,71600,1619.00,1687.00,1959.00,54.00,3.34,22.00,1.30,40.00,2.04,0.00,1959.00,0.00
G0400130071701,Arizona,Maricopa County,71701,137.00,192.00,968.00,2.00,1.46,0.00,0.00,37.00,3.82,45.00,968.00,4.65
G0400130071702,Arizona,Maricopa County,71702,2689.00,2654.00,2662.00,116.00,4.31,87.00,3.28,91.00,3.42,115.00,2662.00,4.32
G0400130071801,Arizona,Maricopa County,71801,3421.00,3619.00,3907.00,143.00,4.18,89.00,2.46,104.00,2.66,50.00,3907.00,1.28
G0400130071802,Arizona,Maricopa County,71802,2578.00,2581.00,2532.00,68.00,2.64,73.00,2.83,83.00,3.28,40.00,2532.00,1.58
G0400130071903,Arizona,Maricopa County,71903,2310.00,2427.00,2609.00,70.00,3.03,41.00,1.69,64.00,2.45,0.00,2609.00,0.00
G0400130071906,Arizona,Maricopa County,71906,1252.55,1864.00,2186.00,42.00,3.35,15.00,0.80,41.00,1.88,54.00,2186.00,2.47
G0400130071909,Arizona,Maricopa County,71909,824.00,1691.00,1808.00,24.00,2.91,23.00,1.36,42.00,2.32,28.00,1808.00,1.55
G0400130071910,Arizona,Maricopa County,71910,1841.00,2298.00,2346.00,106.00,5.76,31.00,1.35,71.00,3.03,29.00,2346.00,1.24
G0400130071911,Arizona,Maricopa County,71911,408.00,848.00,1199.00,17.00,4.17,28.00,3.30,33.00,2.75,0.00,1199.00,0.00
G0400130071912,Arizona,Maricopa County,71912,1046.00,1108.00,1213.00,20.00,1.91,18.00,1.62,58.00,4.78,0.00,1213.00,0.00
G0400130071913,Arizona,Maricopa County,71913,783.45,1538.00,1960.00,9.00,1.15,31.00,2.02,27.00,1.38,0.00,1960.00,0.00
G0400130071914,Arizona,Maricopa County,71914,865.00,996.00,989.00,27.00,3.12,6.00,0.60,26.00,2.63,0.00,989.00,0.00
G0400130071915,Arizona,Maricopa County,71915,1277.00,1427.00,1438.00,63.00,4.93,13.00,0.91,45.00,3.13,9.00,1438.00,0.63
G0400130082002,Arizona,Maricopa County,82002,1591.00,1895.00,2376.00,40.00,2.51,23.00,1.21,60.00,2.53,24.00,2376.00,1.01
G0400130082007,Arizona,Maricopa County,82007,1202.00,1269.00,1296.00,50.00,4.16,14.00,1.10,40.00,3.09,25.00,1296.00,1.93
G0400130082008,Arizona,Maricopa County,82008,649.00,1483.00,1486.00,21.00,3.24,14.00,0.94,41.00,2.76,0.00,1486.00,0.00
G0400130082009,Arizona,Maricopa County,82009,1068.00,1205.00,1358.00,23.00,2.15,14.00,1.16,32.00,2.36,0.00,1358.00,0.00
G0400130082010,Arizona,Maricopa County,82010,1080.00,1119.00,1225.00,17.00,1.57,6.00,0.54,10.00,0.82,0.00,1225.00,0.00
G0400130082012,Arizona,Maricopa County,82012,428.00,1037.00,1897.00,18.00,4.21,7.00,0.68,75.00,3.95,6.00,1897.00,0.32
G0400130082016,Arizona,Maricopa County,82016,1.00,84.00,707.00,0.00,0.00,13.00,15.48,16.00,2.26,0.00,707.00,0.00
G0400130082017,Arizona,Maricopa County,82017,2.00,3.00,1448.00,0.00,0.00,0.00,0.00,42.00,2.90,0.00,1448.00,0.00
G0400130082018,Arizona,Maricopa County,82018,449.00,1054.00,1494.00,23.00,5.12,13.00,1.23,43.00,2.88,0.00,1494.00,0.00
