GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Asian_1990,Asian_2000,Asian_2010
G0400130060802,2010,Arizona,4,Maricopa County,13,60802,0,0,53
G0400130060901,2010,Arizona,4,Maricopa County,13,60901,5,2,83
G0400130060902,2010,Arizona,4,Maricopa County,13,60902,1,1,22
G0400130060903,2010,Arizona,4,Maricopa County,13,60903,0.88,22.41,54
G0400130060904,2010,Arizona,4,Maricopa County,13,60904,2.12,1.59,35
G0400130061009,2010,Arizona,4,Maricopa County,13,61009,0,4,338
G0400130061010,2010,Arizona,4,Maricopa County,13,61010,81,110,193
G0400130061011,2010,Arizona,4,Maricopa County,13,61011,3.47,21.26,311
G0400130061012,2010,Arizona,4,Maricopa County,13,61012,13,189,527
G0400130061013,2010,Arizona,4,Maricopa County,13,61013,0,0,420
G0400130061014,2010,Arizona,4,Maricopa County,13,61014,0,0,179
G0400130061015,2010,Arizona,4,Maricopa County,13,61015,0,148,154
G0400130061016,2010,Arizona,4,Maricopa County,13,61016,0,0,625
G0400130061017,2010,Arizona,4,Maricopa County,13,61017,7,0,22
G0400130061018,2010,Arizona,4,Maricopa County,13,61018,0,21,64
G0400130061019,2010,Arizona,4,Maricopa County,13,61019,0,16,133
G0400130061020,2010,Arizona,4,Maricopa County,13,61020,0,9,227
G0400130061021,2010,Arizona,4,Maricopa County,13,61021,0,0,223
G0400130061022,2010,Arizona,4,Maricopa County,13,61022,0,27,309
G0400130061023,2010,Arizona,4,Maricopa County,13,61023,1,3,259
G0400130061024,2010,Arizona,4,Maricopa County,13,61024,29,0,44
G0400130061025,2010,Arizona,4,Maricopa County,13,61025,0,0,320
G0400130061026,2010,Arizona,4,Maricopa County,13,61026,0,0,114
G0400130061027,2010,Arizona,4,Maricopa County,13,61027,0,24,88
G0400130061028,2010,Arizona,4,Maricopa County,13,61028,2,1,75
G0400130061029,2010,Arizona,4,Maricopa County,13,61029,0,61,120
G0400130061030,2010,Arizona,4,Maricopa County,13,61030,0,0,147
G0400130061031,2010,Arizona,4,Maricopa County,13,61031,0,4,150
G0400130061032,2010,Arizona,4,Maricopa County,13,61032,0,0,134
G0400130061033,2010,Arizona,4,Maricopa County,13,61033,0,13,116
G0400130061034,2010,Arizona,4,Maricopa County,13,61034,0,0,276
G0400130061035,2010,Arizona,4,Maricopa County,13,61035,0,1,236
G0400130061036,2010,Arizona,4,Maricopa County,13,61036,0,0,230
G0400130061037,2010,Arizona,4,Maricopa County,13,61037,0,0,133
G0400130061038,2010,Arizona,4,Maricopa County,13,61038,0,0,144
G0400130061039,2010,Arizona,4,Maricopa County,13,61039,0,0,235
G0400130061040,2010,Arizona,4,Maricopa County,13,61040,0,0,115
G0400130061041,2010,Arizona,4,Maricopa County,13,61041,0,0,96
G0400130061042,2010,Arizona,4,Maricopa County,13,61042,0,1,14
G0400130061043,2010,Arizona,4,Maricopa County,13,61043,0,1,39
G0400130061044,2010,Arizona,4,Maricopa County,13,61044,3,2,180
G0400130061045,2010,Arizona,4,Maricopa County,13,61045,12.05,20.05,70
G0400130061046,2010,Arizona,4,Maricopa County,13,61046,105.63,95.08,175
G0400130061047,2010,Arizona,4,Maricopa County,13,61047,0.02,0,283
G0400130061100,2010,Arizona,4,Maricopa County,13,61100,202.83,122.62,139
G0400130061200,2010,Arizona,4,Maricopa County,13,61200,70.09,40.27,50
G0400130061300,2010,Arizona,4,Maricopa County,13,61300,29.46,22.78,21
G0400130061401,2010,Arizona,4,Maricopa County,13,61401,15.45,0.96,3
G0400130061402,2010,Arizona,4,Maricopa County,13,61402,23,25,33
