GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130116603,Arizona,Maricopa County,116603,2169,140,363,16.74,6.45,2316,257,338,14.59
G0400130116604,Arizona,Maricopa County,116604,2550,223,536,21.02,8.75,2549,174,525,20.6
G0400130116605,Arizona,Maricopa County,116605,2295,172,267,11.63,7.49,2268,109,592,26.1
G0400130116606,Arizona,Maricopa County,116606,2215,86,242,10.93,3.88,2101,239,208,9.9
G0400130116607,Arizona,Maricopa County,116607,1355,116,201,14.83,8.56,1260,53,309,24.52
G0400130116608,Arizona,Maricopa County,116608,965,92,96,9.95,9.53,1029,100,98,9.52
G0400130116609,Arizona,Maricopa County,116609,1592,179,153,9.61,11.24,1713,90,344,20.08
G0400130116610,Arizona,Maricopa County,116610,513,116,11,2.14,22.61,724,222,42,5.8
G0400130116611,Arizona,Maricopa County,116611,1907,355,117,6.14,18.62,2397,369,111,4.63
G0400130116612,Arizona,Maricopa County,116612,1709,391,219,12.81,22.88,2062,614,253,12.27
G0400130116613,Arizona,Maricopa County,116613,1956,184,146,7.46,9.41,2049,397,152,7.42
G0400130116702,Arizona,Maricopa County,116702,1334,373,276,20.69,27.96,1648,671,189,11.47
G0400130116703,Arizona,Maricopa County,116703,1922,479,166,8.64,24.92,1854,548,172,9.28
G0400130116704,Arizona,Maricopa County,116704,2477,271,409,16.51,10.94,2274,258,455,20.01
G0400130116707,Arizona,Maricopa County,116707,849,174,93,10.95,20.49,1285,266,60,4.67
G0400130116708,Arizona,Maricopa County,116708,1313,339,44,3.35,25.82,1349,465,103,7.64
G0400130116709,Arizona,Maricopa County,116709,1557,397,32,2.06,25.5,1558,323,66,4.24
G0400130116710,Arizona,Maricopa County,116710,1514,259,125,8.26,17.11,1541,252,64,4.15
G0400130116711,Arizona,Maricopa County,116711,1276,295,87,6.82,23.12,1404,301,40,2.85
G0400130116712,Arizona,Maricopa County,116712,1084,252,34,3.14,23.25,941,204,57,6.06
G0400130116713,Arizona,Maricopa County,116713,2593,686,82,3.16,26.46,2513,620,154,6.13
G0400130116714,Arizona,Maricopa County,116714,1015,335,77,7.59,33,978,316,61,6.24
G0400130116715,Arizona,Maricopa County,116715,1703,509,169,9.92,29.89,2095,657,108,5.16
G0400130116717,Arizona,Maricopa County,116717,2660,473,215,8.08,17.78,2628,542,437,16.63
G0400130116718,Arizona,Maricopa County,116718,1744,191,181,10.38,10.95,1656,176,223,13.47
G0400130116719,Arizona,Maricopa County,116719,2827,761,228,8.07,26.92,3023,464,279,9.23
G0400130116720,Arizona,Maricopa County,116720,1296,9,326,25.15,0.69,1243,27,401,32.26
G0400130116721,Arizona,Maricopa County,116721,719,290,33,4.59,40.33,1063,566,39,3.67
G0400130116725,Arizona,Maricopa County,116725,2891,210,820,28.36,7.26,2638,171,680,25.78
G0400130116727,Arizona,Maricopa County,116727,1781,282,223,12.52,15.83,2003,277,318,15.88
G0400130116728,Arizona,Maricopa County,116728,1363,94,125,9.17,6.9,1465,76,246,16.79
G0400130116729,Arizona,Maricopa County,116729,1573,311,102,6.48,19.77,1588,316,117,7.37
G0400130116730,Arizona,Maricopa County,116730,1569,356,53,3.38,22.69,1702,302,229,13.45
G0400130116731,Arizona,Maricopa County,116731,1357,99,243,17.91,7.3,1447,141,74,5.11
G0400130116732,Arizona,Maricopa County,116732,615,74,60,9.76,12.03,1276,123,88,6.9
G0400130116733,Arizona,Maricopa County,116733,1168,504,57,4.88,43.15,1293,619,42,3.25
G0400130116800,Arizona,Maricopa County,116800,2888,0,1313,45.46,0,2290,30,798,34.85
G0400130116900,Arizona,Maricopa County,116900,1957,117,678,34.64,5.98,1697,22,845,49.79
G0400130117000,Arizona,Maricopa County,117000,668,209,45,6.74,31.29,516,157,13,2.52
G0400130117100,Arizona,Maricopa County,117100,1332,419,77,5.78,31.46,1318,307,117,8.88
G0400130117200,Arizona,Maricopa County,117200,1280,394,182,14.22,30.78,1067,270,190,17.81
G0400130117300,Arizona,Maricopa County,117300,784,199,42,5.36,25.38,830,184,24,2.89
G0400130216806,Arizona,Maricopa County,216806,1978,428,15,0.76,21.64,2099,518,68,3.24
G0400130216807,Arizona,Maricopa County,216807,1167,539,40,3.43,46.19,1281,595,26,2.03
G0400130216809,Arizona,Maricopa County,216809,863,442,91,10.54,51.22,871,572,33,3.79
G0400130216810,Arizona,Maricopa County,216810,764,412,0,0,53.93,698,241,8,1.15
G0400130216813,Arizona,Maricopa County,216813,1153,429,35,3.04,37.21,948,249,19,2
G0400130216816,Arizona,Maricopa County,216816,1505,447,22,1.46,29.7,1594,503,11,0.69
G0400130216818,Arizona,Maricopa County,216818,1512,449,82,5.42,29.7,1282,355,84,6.55
G0400130216819,Arizona,Maricopa County,216819,567,196,86,15.17,34.57,591,145,105,17.77
G0400130216820,Arizona,Maricopa County,216820,696,47,117,16.81,6.75,723,67,165,22.82
G0400130216821,Arizona,Maricopa County,216821,1206,464,36,2.99,38.47,2207,730,63,2.85
G0400130216822,Arizona,Maricopa County,216822,1696,537,97,5.72,31.66,2772,604,329,11.87
G0400130216826,Arizona,Maricopa County,216826,1804,618,102,5.65,34.26,2002,515,213,10.64
G0400130216829,Arizona,Maricopa County,216829,1718,274,310,18.04,15.95,1568,385,131,8.35
G0400130216830,Arizona,Maricopa County,216830,1297,347,15,1.16,26.75,1336,346,100,7.49
G0400130216831,Arizona,Maricopa County,216831,1227,113,72,5.87,9.21,1400,127,113,8.07
G0400130216832,Arizona,Maricopa County,216832,1073,240,40,3.73,22.37,1303,189,128,9.82
G0400130216833,Arizona,Maricopa County,216833,1041,478,0,0,45.92,970,397,30,3.09
G0400130216834,Arizona,Maricopa County,216834,1503,416,136,9.05,27.68,1781,552,125,7.02
G0400130216835,Arizona,Maricopa County,216835,1261,295,11,0.87,23.39,1904,499,167,8.77
G0400130216836,Arizona,Maricopa County,216836,584,100,15,2.57,17.12,746,72,21,2.82
G0400130216837,Arizona,Maricopa County,216837,1417,48,313,22.09,3.39,1771,74,506,28.57
G0400130216838,Arizona,Maricopa County,216838,1682,59,370,22,3.51,1396,237,304,21.78
G0400130216839,Arizona,Maricopa County,216839,1241,192,76,6.12,15.47,1321,226,149,11.28
G0400130216840,Arizona,Maricopa County,216840,1754,471,116,6.61,26.85,1457,508,53,3.64
G0400130216841,Arizona,Maricopa County,216841,1826,149,214,11.72,8.16,1814,193,243,13.4
G0400130216842,Arizona,Maricopa County,216842,1954,346,353,18.07,17.71,1831,215,326,17.8
G0400130216843,Arizona,Maricopa County,216843,1782,299,267,14.98,16.78,1792,295,197,10.99
