GISJOIN,STATE,COUNTY,TRACTA,TotalIncome_2010,OnetwentyfivekPlusincome_2010,BelowPoverty_2010,BelowPovertyPercent_2010,HighestIncomePercent_2010,TotalIncome_2015,OnetwentyfivekPlusIncome_2015,BelowPoverty_2015,BelowPovertyPercent_2015
G0400130814000,Arizona,Maricopa County,814000,1033,100,158,15.3,9.68,994,147,156,15.69
G0400130814100,Arizona,Maricopa County,814100,1404,263,110,7.83,18.73,1436,305,86,5.99
G0400130814200,Arizona,Maricopa County,814200,1818,145,323,17.77,7.98,1802,348,282,15.65
G0400130814300,Arizona,Maricopa County,814300,1950,263,227,11.64,13.49,1725,98,207,12
G0400130814400,Arizona,Maricopa County,814400,1398,225,52,3.72,16.09,1511,188,209,13.83
G0400130814500,Arizona,Maricopa County,814500,606,118,73,12.05,19.47,663,130,74,11.16
G0400130814600,Arizona,Maricopa County,814600,1668,231,207,12.41,13.85,1713,222,130,7.59
G0400130814700,Arizona,Maricopa County,814700,1147,74,158,13.78,6.45,1171,77,372,31.77
G0400130814800,Arizona,Maricopa County,814800,1063,15,335,31.51,1.41,1051,54,395,37.58
G0400130814900,Arizona,Maricopa County,814900,3177,55,1027,32.33,1.73,2588,62,630,24.34
G0400130815000,Arizona,Maricopa County,815000,2113,317,88,4.16,15,2273,443,40,1.76
G0400130815100,Arizona,Maricopa County,815100,1968,171,58,2.95,8.69,1885,182,202,10.72
G0400130815200,Arizona,Maricopa County,815200,702,75,33,4.7,10.68,1051,161,147,13.99
G0400130815300,Arizona,Maricopa County,815300,1828,198,95,5.2,10.83,1714,209,141,8.23
G0400130815400,Arizona,Maricopa County,815400,1468,234,27,1.84,15.94,1730,230,231,13.35
G0400130815500,Arizona,Maricopa County,815500,1718,361,132,7.68,21.01,2428,346,156,6.43
G0400130815600,Arizona,Maricopa County,815600,600,104,92,15.33,17.33,681,63,82,12.04
G0400130815700,Arizona,Maricopa County,815700,4125,392,749,18.16,9.5,3887,273,833,21.43
G0400130815800,Arizona,Maricopa County,815800,3358,169,699,20.82,5.03,3313,303,557,16.81
G0400130815900,Arizona,Maricopa County,815900,2435,229,816,33.51,9.4,2476,225,876,35.38
G0400130816000,Arizona,Maricopa County,816000,1622,199,134,8.26,12.27,1881,223,259,13.77
G0400130816100,Arizona,Maricopa County,816100,1949,322,128,6.57,16.52,2325,577,259,11.14
G0400130816200,Arizona,Maricopa County,816200,1730,125,303,17.51,7.23,1572,98,321,20.42
G0400130816300,Arizona,Maricopa County,816300,1446,119,230,15.91,8.23,1613,182,260,16.12
G0400130816400,Arizona,Maricopa County,816400,2592,96,601,23.19,3.7,2309,105,520,22.52
G0400130816500,Arizona,Maricopa County,816500,1080,120,100,9.26,11.11,916,62,109,11.9
G0400130816600,Arizona,Maricopa County,816600,2478,1058,20,0.81,42.7,2918,1119,33,1.13
G0400130816700,Arizona,Maricopa County,816700,1134,87,205,18.08,7.67,1170,44,231,19.74
G0400130816800,Arizona,Maricopa County,816800,1160,129,195,16.81,11.12,1329,125,362,27.24
G0400130816900,Arizona,Maricopa County,816900,724,22,75,10.36,3.04,785,39,84,10.7
G0400130817000,Arizona,Maricopa County,817000,1261,23,298,23.63,1.82,1579,37,508,32.17
G0400130817100,Arizona,Maricopa County,817100,1908,11,374,19.6,0.58,2033,97,462,22.73
G0400130817200,Arizona,Maricopa County,817200,911,70,190,20.86,7.68,1203,150,90,7.48
G0400130817300,Arizona,Maricopa County,817300,1318,42,325,24.66,3.19,1336,103,332,24.85
G0400130817400,Arizona,Maricopa County,817400,1523,27,519,34.08,1.77,1635,77,599,36.64
G0400130817500,Arizona,Maricopa County,817500,952,106,84,8.82,11.13,1035,58,216,20.87
G0400130817600,Arizona,Maricopa County,817600,1887,20,508,26.92,1.06,2176,36,621,28.54
G0400130940700,Arizona,Maricopa County,940700,1465,152,165,11.26,10.38,1568,133,144,9.18
G0400130941000,Arizona,Maricopa County,941000,2382,1485,137,5.75,62.34,2346,1279,132,5.63
G0400130941100,Arizona,Maricopa County,941100,1439,768,48,3.34,53.37,1336,682,29,2.17
G0400130941200,Arizona,Maricopa County,941200,1578,417,161,10.2,26.43,1613,339,154,9.55
G0400130941300,Arizona,Maricopa County,941300,1564,379,208,13.3,24.23,1902,332,222,11.67
G0400130980100,Arizona,Maricopa County,980100,2322,81,529,22.78,3.49,1866,200,449,24.06
G0400130980400,Arizona,Maricopa County,980400,2375,124,424,17.85,5.22,2486,209,524,21.08
G0400130980500,Arizona,Maricopa County,980500,951,37,213,22.4,3.89,1003,72,255,25.42
G0400130980600,Arizona,Maricopa County,980600,1888,80,293,15.52,4.24,1737,106,215,12.38
G0400130980700,Arizona,Maricopa County,980700,1226,165,76,6.2,13.46,1195,242,74,6.19
